,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,175.0,2.0,637.0,939.0,164.0,341.0,136.0,17.7,16.6,3.0,5.7,2.6,738.0,25.7,0.961,0.8109999999999999,1.153,24.7,24.2,37.4,31.6,44.9,1.37,21.36,-3.67,1.37,1.39,0.17,6.4,170.0,633.0,187.0,146.0,6.0,12.0,11.0,355.0,3.25,403.0,22.8,16.7,0.11,0.748,3.55,5.97,8.32,92.2,37.7,0.098,23300.0,6890.0,972000.0,0.71
1,142.0,2.0,672.0,939.0,164.0,341.0,136.0,18.0,16.9,3.0,5.7,2.7,794.0,29.7,1.047,0.945,1.3090000000000002,27.6,27.2,35.2,31.8,44.1,1.51,22.81,-4.84,1.51,1.54,0.18,6.85,151.0,627.0,180.0,147.0,13.0,14.0,14.0,359.0,5.62,488.0,27.2,18.0,0.08,0.622,4.33,4.59,4.69,78.2,36.7,1.135,49900.0,10800.0,877000.0,1.23
2,187.0,2.0,648.0,939.0,164.0,341.0,136.0,24.5,23.0,4.1,7.7,3.7,747.0,36.1,1.383,1.225,1.5519999999999998,35.2,34.7,38.3,33.9,43.0,1.42,25.44,-0.92,1.42,1.44,0.17,6.52,162.0,587.0,230.0,143.0,9.0,15.0,11.0,320.0,7.52,432.0,17.6,12.5,0.11,0.638,3.75,6.05,8.32,87.3,36.0,0.06,10500.0,7030.0,1120000.0,0.63
3,187.0,2.0,691.0,939.0,164.0,341.0,136.0,22.7,21.4,3.8,7.1,3.4,745.0,37.7,1.589,1.239,1.6469999999999998,38.9,37.9,42.2,32.9,43.7,1.66,27.44,-4.7,1.66,1.71,0.2,6.4,250.0,573.0,239.0,149.0,9.0,14.0,11.0,314.0,7.19,420.0,18.5,11.1,0.1,0.508,3.83,5.2,7.89,90.5,37.2,0.156,18100.0,6140.0,1200000.0,0.51
4,190.0,3.0,674.0,939.0,164.0,341.0,136.0,17.7,16.6,3.0,5.6,2.6,781.0,29.1,1.942,1.234,1.2990000000000002,40.8,40.2,66.8,42.4,44.7,2.28,27.9,-10.22,2.28,2.31,0.25,6.85,174.0,548.0,206.0,200.0,11.0,15.0,15.0,338.0,10.94,676.0,38.2,16.8,0.13,0.43,3.81,4.84,6.23,80.2,40.4,0.146,117000.0,6350.0,731000.0,0.87
5,171.0,2.0,716.0,940.0,163.0,345.0,139.0,18.8,17.7,3.1,6.2,2.8,713.0,25.7,1.472,0.97,1.18,32.4,31.8,57.2,37.7,45.9,1.69,25.32,-6.51,1.69,1.72,0.19,7.02,207.0,569.0,213.0,173.0,11.0,16.0,13.0,333.0,7.5,497.0,26.4,15.6,0.06,0.473,4.04,5.27,5.57,83.6,33.4,0.117,74900.0,5730.0,954000.0,0.6
6,173.0,5.0,686.0,940.0,163.0,345.0,139.0,27.5,25.9,4.6,8.7,4.3,683.0,39.4,1.605,1.223,1.793,39.8,38.7,40.8,31.1,45.6,1.41,27.66,-0.13,1.41,1.45,0.17,6.44,148.0,562.0,262.0,140.0,9.0,13.0,9.0,296.0,6.71,467.0,16.9,12.1,0.09,0.463,4.07,5.24,6.57,83.6,35.3,0.184,40100.0,2820.0,1040000.0,0.27
7,175.0,5.0,717.0,940.0,163.0,345.0,139.0,31.8,29.9,5.4,10.0,4.9,748.0,42.1,1.65,1.4469999999999998,1.928,41.6,41.7,39.1,34.3,45.8,1.31,28.78,3.02,1.31,1.31,0.16,6.3,218.0,573.0,221.0,169.0,9.0,14.0,10.0,328.0,7.42,518.0,16.3,12.4,0.15,0.574,3.93,5.6,6.75,91.6,37.9,0.261,11400.0,1180.0,414000.0,0.28
8,175.0,3.0,747.0,940.0,163.0,345.0,139.0,27.6,25.9,4.6,8.7,4.3,669.0,37.3,1.631,1.344,1.826,39.4,40.1,43.7,36.0,48.9,1.45,28.36,-0.77,1.45,1.43,0.17,6.8,150.0,576.0,222.0,170.0,7.0,14.0,6.0,328.0,1.96,553.0,20.0,13.8,0.09,0.401,3.74,4.54,6.19,77.1,37.5,0.08800000000000001,35000.0,1140.0,283000.0,0.4
9,176.0,4.0,680.0,940.0,163.0,345.0,139.0,23.7,22.3,4.0,7.6,3.6,719.0,35.1,1.791,1.137,1.644,40.9,39.5,51.0,32.4,46.8,1.66,28.0,-4.27,1.66,1.72,0.19,6.97,140.0,589.0,209.0,168.0,8.0,12.0,9.0,338.0,2.09,462.0,19.5,11.7,0.16,0.444,4.06,3.77,7.51,73.2,34.8,0.856,56700.0,6570.0,454000.0,1.45
10,188.0,2.0,747.0,940.0,163.0,345.0,139.0,15.5,14.6,2.6,5.1,2.3,738.0,20.6,0.743,0.7090000000000001,0.951,19.4,19.7,36.0,34.4,46.1,1.27,20.98,-5.45,1.27,1.25,0.15,6.54,169.0,543.0,267.0,152.0,9.0,14.0,11.0,292.0,3.52,388.0,24.9,19.7,0.05,0.38,4.11,4.6,5.35,75.8,33.9,0.895,31000.0,5070.0,338000.0,1.5
11,95.0,2.0,577.0,940.0,163.0,345.0,139.0,26.1,24.5,4.4,8.2,4.0,702.0,37.8,1.494,1.227,1.802,37.5,37.4,39.6,32.5,47.7,1.44,24.42,1.64,1.44,1.44,0.17,6.28,194.0,542.0,275.0,143.0,9.0,15.0,10.0,285.0,5.39,474.0,18.2,12.7,0.11,0.485,3.79,5.5,8.01,85.3,37.2,0.098,23700.0,6220.0,382000.0,1.63
12,183.0,2.0,674.0,940.0,163.0,345.0,139.0,17.6,16.5,2.9,5.8,2.6,728.0,22.1,1.141,0.804,0.97,25.9,25.4,51.7,36.4,43.9,1.44,22.39,-4.8,1.44,1.48,0.17,6.71,191.0,580.0,218.0,166.0,8.0,13.0,10.0,330.0,3.12,409.0,23.3,16.1,0.12,0.489,4.04,4.46,6.04,87.0,35.2,0.146,58400.0,2970.0,214000.0,1.38
13,155.0,2.0,607.0,940.0,163.0,345.0,139.0,25.2,23.7,4.3,7.9,3.9,703.0,48.5,1.793,1.556,2.265,46.3,46.1,37.0,32.1,46.7,1.83,28.86,-3.65,1.83,1.84,0.22,6.25,156.0,544.0,244.0,165.0,9.0,18.0,15.0,308.0,11.13,701.0,27.8,15.2,0.06,0.506,3.76,5.82,6.7,74.4,36.6,0.08800000000000001,39300.0,10100.0,449000.0,2.26
14,182.0,2.0,661.0,940.0,163.0,345.0,139.0,22.6,21.3,3.8,7.3,3.4,708.0,41.7,1.501,1.242,2.001,39.2,38.7,36.0,29.8,48.0,1.71,27.1,-4.46,1.71,1.73,0.21,6.42,208.0,563.0,210.0,182.0,9.0,16.0,14.0,335.0,9.86,552.0,24.4,14.3,0.1,0.903,3.36,6.41,6.68,86.2,38.2,0.098,49500.0,1520.0,106000.0,1.43
15,184.0,3.0,611.0,940.0,163.0,345.0,139.0,23.0,21.6,3.9,7.3,3.5,755.0,37.2,1.327,1.168,1.747,34.8,34.6,35.7,31.4,46.9,1.51,24.76,-1.8,1.51,1.52,0.18,6.38,143.0,556.0,226.0,181.0,9.0,15.0,9.0,324.0,4.96,575.0,25.1,16.6,0.1,0.68,3.7,6.6,5.12,92.7,36.1,0.175,24500.0,4920.0,343000.0,1.43
16,188.0,2.0,565.0,940.0,163.0,345.0,139.0,26.2,24.6,4.4,8.3,4.0,716.0,41.7,1.5930000000000002,1.372,1.999,40.6,40.8,38.2,32.9,48.0,1.56,26.23,-0.07,1.56,1.55,0.19,6.21,210.0,552.0,210.0,195.0,9.0,17.0,11.0,335.0,4.6,507.0,19.4,12.4,0.14,0.818,3.54,6.32,9.29,92.9,35.7,0.079,57600.0,6040.0,394000.0,1.53
17,172.0,4.0,608.0,943.0,164.0,312.0,167.0,20.1,18.9,3.4,5.9,3.5,709.0,31.0,1.426,1.012,1.46,33.8,33.1,46.0,32.6,47.0,1.65,24.32,-4.24,1.65,1.68,0.19,7.1,96.0,646.0,169.0,141.0,14.0,9.0,16.0,368.0,3.1,378.0,18.8,11.4,0.33,0.464,4.73,3.34,5.26,71.2,37.8,0.108,98500.0,12700.0,397000.0,3.19
