VarName1,Kingdom,Phylum,Class,Order,Family,Genus,Species
1,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-001,
10,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
10003,Bacteria,Firmicutes,Bacilli,RF39,RF39_fa,RF39_ge,
10004,Bacteria,Proteobacteria,Alphaproteobacteria,<undefined>,<undefined>,<undefined>,
1001,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrionaceae_UCG-001,
10012,Bacteria,Proteobacteria,Gammaproteobacteria,<undefined>,<undefined>,<undefined>,
10015,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,<undefined>,
10016,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10018,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
10019,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,
10021,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Wohlfahrtiimonadaceae,Ignatzschineria,
10022,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_ge,
10027,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10028,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Syntrophococcus,
10030,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,
10035,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
10037,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,<undefined>,<undefined>,
10038,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
10039,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10042,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,<undefined>,
10045,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10046,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
10049,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10058,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured_ge,
10059,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,WCHB1-41_fa,WCHB1-41_ge,
10061,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,
10064,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,<undefined>,
10066,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,
10067,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
1007,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10070,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10072,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10079,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
1008,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_NK3A20_group,
10086,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10087,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,<undefined>,<undefined>,
10089,Bacteria,Bacteroidota,Bacteroidia,<undefined>,<undefined>,<undefined>,
10090,Bacteria,Firmicutes,Negativicutes,<undefined>,<undefined>,<undefined>,
10095,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,<undefined>,
101,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
1010,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082_ge,
10101,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,<undefined>,
10108,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_UCG-008,
1011,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_ge,
10110,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,uncultured,
10111,Bacteria,Firmicutes,Bacilli,RF39,RF39_fa,RF39_ge,
10117,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,CAG-352,
1012,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,
10123,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,<undefined>,<undefined>,
10124,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10125,Bacteria,Firmicutes,<undefined>,<undefined>,<undefined>,<undefined>,
10126,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,
10127,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,
1013,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
10136,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,U29-B03,
10138,Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,Clostridia_UCG-014_fa,Clostridia_UCG-014_ge,
10141,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10143,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<undefined>,
10147,Bacteria,Firmicutes,<undefined>,<undefined>,<undefined>,<undefined>,
1015,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidales_RF16_group,Bacteroidales_RF16_group_ge,
10152,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
10158,Bacteria,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,
10163,Bacteria,Bacteroidota,Bacteroidia,<undefined>,<undefined>,<undefined>,
