,0
0,['Daysinmilk']
1,['Lactationnumber']
2,['Liveweightkg']
3,['OM']
4,['CP']
5,['NDF']
6,['Starch']
7,['DM']
8,['OM1']
9,['CP1']
10,['NDF1']
11,['Starch1']
12,['DM2']
13,['Milk']
14,['Fat']
15,['Protein']
16,['Lactose']
17,['FCM']
18,['EnergycorrectedmilkECM']
19,['Fatgkg']
20,['Proteingkg']
21,['Lactosegkg']
22,['ECMDMI']
23,['NRC_DMI']
24,['RFINRC']
25,['FCEecm']
26,['FCEfcm']
27,['FCEsolids']
28,['RumenpH']
29,['TotalVFA']
30,['Acetate']
31,['Propionate']
32,['Butyrate']
33,['Isobutyrate']
34,['Valerate']
35,['Isovalerate']
36,['Wolin']
37,['Ammonia']
38,['gd']
39,['gkgDMI']
40,['gkgECM']
41,['NEFA']
42,['BHB']
43,['Glucose']
44,['Urea']
45,['Cholesterol']
46,['Creatinine']
47,['Albumin']
48,['Haptoglobulin']
49,['protozoa_count_mean']
50,['archaea_count_mean']
51,['bacteria_count_mean']
52,['A2BRatio']
